, 2 SHBB HA 2, 2 SHBB HA, 2 SHBB LA 2, 2 SHBB LA, 2 SHBB Min LA 2, 2 SHBB Min LA
2 SHBB HA 2, 0.5, 0.500824741750659, 0.5198836047262, 0.521870810034334, 0.658588835649128, 0.612885428647106
2 SHBB HA, 0.560189203419331, 0.5, 0.610884703059372, 0.575421136959394, 0.702560615724906, 0.677015463744421
2 SHBB LA 2, 0.454173783013527, 0.44174620513417, 0.5, 0.497008261100638, 0.685349301554449, 0.626011720074442
2 SHBB LA, 0.483659727737758, 0.460017254109066, 0.574468096678504, 0.5, 0.614916820045541, 0.630543840227982
2 SHBB Min LA 2, 0.316914801742638, 0.289787884845344, 0.367559644873875, 0.378403520432076, 0.5, 0.491664350616273
2 SHBB Min LA, 0.343763417601894, 0.337348939318947, 0.382110579148784, 0.381216488773166, 0.495986795241103, 0.5
