, CA36.1, CA36.2, CL36.1, CL36.2, CL36.3, CL36.4
CA36.1, 0.5, 0.5838641188959663, 0.7611241217798649, 0.7241379310344789, 0.6020111140513369, 0.5078125000000002
CA36.2, 0.4161358811040337, 0.5, 0.6929637526652516, 0.6505576208178396, 0.5163804191571467, 0.42235217673814185
CL36.1, 0.2388758782201351, 0.30703624733474844, 0.5, 0.399506428103982, 0.276906633855234, 0.2082351043666371
CL36.2, 0.2758620689655212, 0.34944237918216026, 0.600493571896018, 0.5, 0.3656005890803842, 0.2834278131200196
CL36.3, 0.3979888859486631, 0.4836195808428533, 0.723093366144766, 0.6343994109196158, 0.5, 0.40876163476235416
CL36.4, 0.49218749999999983, 0.5776478232618583, 0.7917648956333629, 0.7165721868799804, 0.5912383652376458, 0.5
